ts,value
2016-07-10 07:08:38,29627
2016-07-10 07:09:39,29627
2016-07-10 07:10:39,29627
2016-07-10 07:11:40,29627
2016-07-10 07:12:42,29627
2016-07-10 07:13:41,29627
2016-07-10 07:14:42,29627
2016-07-10 07:15:43,29627
2016-07-10 07:16:43,29627
2016-07-10 07:17:44,29627
2016-07-10 07:18:45,29627
2016-07-10 07:19:47,29627
2016-07-10 07:20:47,29627
2016-07-10 07:21:49,29627
2016-07-10 07:22:50,29627
2016-07-10 07:23:50,29627
2016-07-10 07:24:51,29627
2016-07-10 07:25:51,29627
2016-07-10 07:26:52,29627
2016-07-10 07:27:53,29627
2016-07-10 07:28:53,29627
2016-07-10 07:29:54,29627
2016-07-10 07:30:55,29627
2016-07-10 07:31:55,29627
2016-07-10 07:32:56,29627
2016-07-10 07:33:57,29627
2016-07-10 07:34:57,29627
2016-07-10 07:35:58,29627
2016-07-10 07:36:58,29627
2016-07-10 07:37:59,29627
2016-07-10 07:39:01,29627
2016-07-10 07:40:00,29627
2016-07-10 07:41:01,29627
2016-07-10 07:42:02,29627
2016-07-10 07:43:02,29627
2016-07-10 07:44:03,29627
2016-07-10 07:45:04,29627
2016-07-10 07:46:04,29627
2016-07-10 07:47:05,29627
2016-07-10 07:48:05,29627
2016-07-10 07:49:06,29627
2016-07-10 07:50:07,29627
2016-07-10 07:51:07,29627
2016-07-10 07:52:08,29628
2016-07-10 07:53:09,29628
2016-07-10 07:54:09,29628
2016-07-10 07:55:10,29628
2016-07-10 07:56:10,29628
2016-07-10 07:57:11,29628
2016-07-10 07:58:12,29633
2016-07-10 07:59:13,29634
2016-07-10 08:00:13,29634
2016-07-10 08:01:13,29634
2016-07-10 08:02:14,29634
2016-07-10 08:03:15,29636
2016-07-10 08:04:15,29644
2016-07-10 08:05:16,29653
2016-07-10 08:06:17,29660
2016-07-10 08:07:17,29664
2016-07-10 08:08:18,29665
2016-07-10 08:09:19,29665
2016-07-10 08:10:20,29665
2016-07-10 08:11:20,29665
2016-07-10 08:12:20,29665
2016-07-10 08:13:21,29665
2016-07-10 08:14:22,29665
2016-07-10 08:15:22,29665
2016-07-10 08:16:23,29665
2016-07-10 08:17:24,29665
2016-07-10 08:18:24,29665
2016-07-10 08:19:25,29665
2016-07-10 08:20:25,29665
2016-07-10 08:21:26,29665
2016-07-10 08:22:27,29665
2016-07-10 08:23:27,29666
2016-07-10 08:24:28,29668
2016-07-10 08:25:29,29669
2016-07-10 08:26:29,29673
2016-07-10 08:27:31,29674
2016-07-10 08:28:31,29675
2016-07-10 08:29:31,29677
2016-07-10 08:30:32,29679
2016-07-10 08:31:33,29681
2016-07-10 08:32:33,29682
2016-07-10 08:33:34,29683
2016-07-10 08:34:35,29685
2016-07-10 08:35:35,29686
2016-07-10 08:36:36,29688
2016-07-10 08:37:37,29690
2016-07-10 08:38:37,29690
2016-07-10 08:39:38,29690
2016-07-10 08:40:39,29692
2016-07-10 08:41:39,29693
2016-07-10 08:42:40,29693
2016-07-10 08:43:40,29697
2016-07-10 08:44:41,29697
2016-07-10 08:45:42,29697
2016-07-10 08:46:42,29697
2016-07-10 08:47:43,29697
2016-07-10 08:48:44,29697
2016-07-10 08:49:44,29697
2016-07-10 08:50:45,29698
2016-07-10 08:51:46,29698
2016-07-10 08:52:46,29700
2016-07-10 08:53:47,29700
2016-07-10 08:54:47,29703
2016-07-10 08:55:48,29704
2016-07-10 08:56:49,29706
2016-07-10 08:57:49,29707
2016-07-10 08:58:50,29709
2016-07-10 08:59:51,29711
2016-07-10 09:00:51,29712
2016-07-10 09:01:52,29712
2016-07-10 09:02:52,29713
2016-07-10 09:03:55,29716
2016-07-10 09:04:55,29716
2016-07-10 09:05:55,29717
2016-07-10 09:06:56,29717
2016-07-10 09:07:56,29718
2016-07-10 09:08:57,29719
2016-07-10 09:09:58,29719
2016-07-10 09:10:58,29719
2016-07-10 09:11:59,29720
2016-07-10 09:13:00,29720
2016-07-10 09:14:00,29720
2016-07-10 09:15:01,29722
2016-07-10 09:16:02,29722
2016-07-10 09:17:02,29722
2016-07-10 09:18:03,29722
2016-07-10 09:19:04,29722
2016-07-10 09:20:05,29722
2016-07-10 09:21:06,29722
2016-07-10 09:22:05,29722
2016-07-10 09:23:06,29722
2016-07-10 09:24:07,29722
2016-07-10 09:42:19,29728
2016-07-10 09:43:19,29728
2016-07-10 09:44:20,29728
2016-07-10 09:45:21,29728
2016-07-10 09:46:21,29728
